Query,Assessment_url
Need Java developer with communication skills,https://www.shl.com/products/product-catalog/view/interpersonal-communications/
Need Java developer with communication skills,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/
Need Java developer with communication skills,https://www.shl.com/products/product-catalog/view/business-communications/
Need Java developer with communication skills,https://www.shl.com/products/product-catalog/view/java-8-new/
Need Java developer with communication skills,https://www.shl.com/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/
Looking for Python data analyst,https://www.shl.com/products/product-catalog/view/python-new/
Looking for Python data analyst,https://www.shl.com/products/product-catalog/view/data-warehousing-concepts/
Looking for Python data analyst,https://www.shl.com/products/product-catalog/view/data-entry-new/
Looking for Python data analyst,https://www.shl.com/products/product-catalog/view/automata-data-science-new/
Looking for Python data analyst,https://www.shl.com/products/product-catalog/view/sap-bw-business-warehouse-new/
Entry level candidates with cognitive ability,https://www.shl.com/products/product-catalog/view/entry-level-cashier-solution/
Entry level candidates with cognitive ability,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/
Entry level candidates with cognitive ability,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/
Entry level candidates with cognitive ability,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/
Entry level candidates with cognitive ability,https://www.shl.com/products/product-catalog/view/entry-level-hotel-front-desk-solution/
Senior backend engineer with system design skills,https://www.shl.com/products/product-catalog/view/ai-skills/
Senior backend engineer with system design skills,https://www.shl.com/products/product-catalog/view/global-skills-development-report/
Senior backend engineer with system design skills,https://www.shl.com/products/product-catalog/view/java-design-patterns-new/
Senior backend engineer with system design skills,https://www.shl.com/products/product-catalog/view/global-skills-assessment/
Senior backend engineer with system design skills,https://www.shl.com/products/product-catalog/view/english-comprehension-new/
Team leader with strong interpersonal skills,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/
Team leader with strong interpersonal skills,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/
Team leader with strong interpersonal skills,https://www.shl.com/products/product-catalog/view/ai-skills/
Team leader with strong interpersonal skills,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/
Team leader with strong interpersonal skills,https://www.shl.com/products/product-catalog/view/global-skills-development-report/
